Sample	Gene_burden	TRUE	FALSE
PD3945a	0.111111	0	8
ICGC-045c13ef-3db7-4adf-b0a3-23338f0479f3	0.266667	3	14
PD4116a	0.166667	1	11
PD3851a	0.166667	0	5
ICGC-a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	0.185185	4	26
ICGC-a8015490-9740-45c9-8bd2-eb6d1beefc2e	0.214286	2	13
PD4982a	1	1	1
ICGC-5dd423e8-feaa-4568-a750-500948c41d6c	0.1	0	9
ICGC-441919eb-8c9f-478c-bda3-8de4f8295e8a	0.117647	1	16
PD8618a	0.333333	0	2
PD4225a	0.2	0	4
PD4954a	0.363636	3	10
ICGC-d67cd793-2931-429a-9084-2f3c4c8be7ad	0.037037	1	53
PD7199a	0.333333	0	2
PD4080a	0.166667	0	5
PD4847a	0.125	2	23
ICGC-60df7543-6da5-4c75-943b-5800c1e08234	0.166667	0	5
PD4103a	0.333333	1	5
PD4255a	0.125	0	7
ICGC-5d1d00c6-fcae-479e-ae1e-de76efd41d98	0.0625	0	15
PD3904a	0.125	0	7
PD7207a	0.333333	1	5
PD5935a	0.0512821	1	38
PD4069a	0.25	0	3
PD4986a	0.2	0	4
ICGC-75113445-d2d6-44a0-866c-c9175e6d214b	0.125	0	7
PD7209a	0.2	0	4
PD4971a	0.666667	1	2
PD4958a	0.2	1	9
ICGC-b58ad350-5140-4fa8-bc2c-24bca8395f3a	0.2	1	9
ICGC-f45210d3-9e66-4f5e-bef1-5ee5547cc893	0.0714286	1	27
ICGC-1d27253f-b036-44e7-a04d-8da5bbf57419	0.230769	2	12
PD6418a	0.4	1	4
ICGC-b094e8b2-8ece-4b36-8025-18073a8b873c	0.153846	3	25
ICGC-f6e1ec78-5ad9-4879-9b7e-262d17b166ad	0.5	3	7
ICGC-a9b7d7fe-be31-4f71-afee-c1bfdf511888	0.166667	2	17
ICGC-b2aac45b-2073-4c7a-adb9-769a4fdcc111	0.142857	0	6
PD6042a	0.2	1	9
ICGC-790ff5db-b7f3-4946-aaed-305f66b1dd6a	0.111111	1	17
PD4836a	0.142857	0	6
PD4120a	0.136646	21	160
PD4107a	0.105263	1	18
PD4605a	0.5	1	3
ICGC-44bec761-b603-49c0-8634-f6bfe0319bb1	0.25	1	7
ICGC-9fefbe7c-f66a-4940-843e-285cb7b392c1	0.166667	0	5
ICGC-2a84997d-ccee-4f46-bea2-752534f26416	0.25	1	7
PD8622a	0.2	0	4
ICGC-f0787165-6f58-4d67-b510-928eea2c4882	0.1	0	9
PD4086a	0.2	0	4
ICGC-d6f7afc0-1558-43ad-acb1-2b5311ed2264	0.6	2	4
ICGC-d8d7a6c2-6427-4f47-968c-6c3affba4617	0.1	0	9
PD6044a	0.2	0	4
PD4109a	0.294118	4	16
PD4607a	0.122449	5	48
ICGC-9435447e-d65f-408b-863b-6576b1d652dd	0.25	3	15
PD4975a	0.111111	1	17
ICGC-d9dc3b59-613d-469e-8b4f-6c5a557eb26a	0.0833333	2	35
ICGC-6fa2a667-9c36-4526-8a58-1975e863a806	0.0952381	1	20
ICGC-0bc5744c-5fa3-45bb-87d0-70a02068b392	0.181818	1	10
PD4088a	0.25	0	3
ICGC-b43e41af-1d82-4b5f-b8f1-add0510e6b86	0.2	2	14
ICGC-e9f4f373-37a5-48ad-a1a0-b0d47820111a	0.181818	3	21
ICGC-784de7ac-8424-42eb-83d4-a1bebaa42b97	0.0769231	0	12
PD6046a	0.333333	1	5
ICGC-5ed024e8-d05e-4c65-9441-eda9930ccc82	0.0625	0	15
ICGC-8785012f-f73e-4d68-87cf-1d804af32782	0.15	2	19
PD6018a	0.1	0	9
PD4248a	0.5	0	1
PD4261a	0.2	0	4
PD6719a	0.125	0	7
PD5956a	0.166667	0	5
ICGC-9d95a65b-e41d-4f93-92d4-99dce29ff40d	0.0769231	0	12
ICGC-324bcba2-f6a4-45a6-807c-215bdffcca21	0.05	0	19
ICGC-d3d545b3-457f-4389-821f-704cb24aff7f	0.163636	8	54
PD4962a	0.25	2	11
ICGC-4da999a0-ef41-4a0b-b1d1-446b39cc855a	0.8	3	4
PD6422a	0.142857	0	6
PD5928a	0.166667	1	11
PD6409a	0.25	0	3
PD4199a	0.428571	2	6
ICGC-aeb6a3a6-b57a-4c53-90e6-e833777dd2a1	0.666667	1	2
PD7215a	0.2	2	14
ICGC-786e8dbe-442e-4551-87b3-b4c333b04dd4	0.1875	2	15
ICGC-9f6be944-83de-42ab-8738-f0022f475e61	0.238095	4	20
PD7431a	0.3	2	9
